('08/04/2022 15:21:27', 'creation', 'WUDFHost.exe', 4564)
('08/04/2022 15:21:26', 'creation', 'audiodg.exe', 9064)
('08/04/2022 15:21:27', 'creation', 'powershell.exe', 9784)
('08/04/2022 15:21:27', 'deletion', 'powershell.exe', 9784)
('08/04/2022 15:21:28', 'creation', 'rundll32.exe', 12044)
('08/04/2022 15:21:31', 'creation', 'powershell.exe', 12228)
('08/04/2022 15:21:31', 'deletion', 'powershell.exe', 12228)
('08/04/2022 15:21:27', 'deletion', 'dllhost.exe', 11824)
('08/04/2022 15:21:34', 'creation', 'powershell.exe', 8676)
('08/04/2022 15:21:35', 'creation', 'dllhost.exe', 9652)
('08/04/2022 15:21:28', 'deletion', 'rundll32.exe', 12044)
('08/04/2022 15:21:34', 'deletion', 'powershell.exe', 8676)
('08/04/2022 15:21:38', 'creation', 'powershell.exe', 1716)
('08/04/2022 15:21:27', 'deletion', 'LEDKeeper2.exe', 11228)
('08/04/2022 15:21:38', 'deletion', 'powershell.exe', 1716)
('08/04/2022 15:21:41', 'deletion', 'conhost.exe', 10000)
('08/04/2022 15:21:41', 'deletion', 'runnerw64.exe', 2640)
('08/04/2022 15:21:42', 'creation', 'powershell.exe', 6564)
('08/04/2022 15:21:35', 'deletion', 'dllhost.exe', 9652)
('08/04/2022 15:21:42', 'deletion', 'powershell.exe', 6564)
('08/04/2022 15:14:10', 'deletion', 'conhost.exe', 10720)
('08/04/2022 15:14:10', 'deletion', 'python.exe', 2092)
('08/04/2022 15:21:46', 'deletion', 'powershell.exe', 8984)
('08/04/2022 15:21:27', 'deletion', 'WUDFHost.exe', 4564)
('08/04/2022 15:21:51', 'creation', 'LEDKeeper2.exe', 10852)
('08/04/2022 15:21:51', 'creation', 'dllhost.exe', 8716)
('08/04/2022 15:21:53', 'creation', 'WUDFHost.exe', 5864)
('08/04/2022 15:21:19', 'deletion', 'notepad.exe', 2688)
('08/04/2022 15:21:51', 'deletion', 'dllhost.exe', 8716)
('08/04/2022 15:21:51', 'deletion', 'LEDKeeper2.exe', 10852)
('08/04/2022 15:21:19', 'deletion', 'notepad.exe', 11516)
('08/04/2022 15:17:03', 'deletion', 'svchost.exe', 9512)
('08/04/2022 15:22:05', 'creation', 'dllhost.exe', 2408)
('08/04/2022 15:22:05', 'deletion', 'dllhost.exe', 2408)
('08/04/2022 15:22:57', 'deletion', 'runnerw64.exe', 11320)
('08/04/2022 15:23:02', 'creation', 'FileCoAuth.exe', 4460)
('08/04/2022 15:23:02', 'deletion', 'FileCoAuth.exe', 4460)
('08/04/2022 15:23:07', 'deletion', 'runnerw64.exe', 10936)
('08/04/2022 15:23:07', 'deletion', 'conhost.exe', 4448)
('08/04/2022 15:23:08', 'deletion', 'git.exe', 7952)
('08/04/2022 15:23:18', 'deletion', 'python.exe', 11816)
('08/04/2022 15:23:18', 'deletion', 'conhost.exe', 12500)
('08/04/2022 15:23:29', 'deletion', 'conhost.exe', 11392)
('08/04/2022 15:23:29', 'deletion', 'python.exe', 8168)
('08/04/2022 15:23:32', 'creation', 'conhost.exe', 8248)
('08/04/2022 15:23:32', 'creation', 'python.exe', 9672)
('08/04/2022 15:23:32', 'deletion', 'conhost.exe', 8248)
('08/04/2022 15:23:32', 'deletion', 'python.exe', 9672)
('08/04/2022 15:23:38', 'creation', 'python.exe', 832)
('08/04/2022 15:23:38', 'creation', 'conhost.exe', 952)
('08/04/2022 15:21:26', 'deletion', 'svchost.exe', 12292)
('08/04/2022 15:24:08', 'creation', 'WerFault.exe', 528)
('08/04/2022 15:24:08', 'creation', 'svchost.exe', 9532)
('08/04/2022 15:24:09', 'creation', 'WerFault.exe', 2688)
('08/04/2022 15:24:09', 'creation', 'python.exe', 7964)
('08/04/2022 15:24:09', 'deletion', 'WerFault.exe', 2688)
('08/04/2022 15:24:09', 'deletion', 'python.exe', 7964)
('08/04/2022 15:23:38', 'deletion', 'python.exe', 832)
('08/04/2022 15:23:38', 'deletion', 'conhost.exe', 952)
('08/04/2022 15:24:13', 'creation', 'wermgr.exe', 6096)
('08/04/2022 15:24:13', 'deletion', 'wermgr.exe', 6096)
('08/04/2022 15:24:26', 'creation', 'conhost.exe', 12888)
('08/04/2022 15:24:26', 'creation', 'python.exe', 6960)
('08/04/2022 15:24:26', 'deletion', 'conhost.exe', 12888)
('08/04/2022 15:24:26', 'deletion', 'python.exe', 6960)
('08/04/2022 15:24:50', 'deletion', 'runnerw64.exe', 11512)
('08/04/2022 15:24:50', 'deletion', 'conhost.exe', 13048)
('08/04/2022 15:25:01', 'creation', 'conhost.exe', 12092)
('08/04/2022 15:25:01', 'creation', 'python.exe', 5356)
('08/04/2022 15:25:05', 'creation', 'python.exe', 10400)
('08/04/2022 15:25:05', 'creation', 'conhost.exe', 8076)
('08/04/2022 15:25:05', 'deletion', 'python.exe', 10400)
('08/04/2022 15:25:05', 'deletion', 'conhost.exe', 8076)
('08/04/2022 15:25:58', 'creation', 'python.exe', 10944)
('08/04/2022 15:25:58', 'creation', 'conhost.exe', 924)
('08/04/2022 15:25:59', 'creation', 'conhost.exe', 1868)
('08/04/2022 15:25:58', 'deletion', 'python.exe', 10944)
('08/04/2022 15:25:59', 'creation', 'python.exe', 8448)
('08/04/2022 15:25:58', 'deletion', 'conhost.exe', 924)
('08/04/2022 15:24:08', 'deletion', 'svchost.exe', 9532)
('08/04/2022 15:17:05', 'deletion', 'smartscreen.exe', 9716)
('08/04/2022 15:25:59', 'deletion', 'conhost.exe', 1868)
('08/04/2022 15:25:59', 'deletion', 'python.exe', 8448)
('08/04/2022 15:26:29', 'creation', 'conhost.exe', 13092)
('08/04/2022 15:26:29', 'creation', 'python.exe', 2328)
('08/04/2022 15:26:29', 'deletion', 'conhost.exe', 13092)
('08/04/2022 15:26:29', 'deletion', 'python.exe', 2328)
('08/04/2022 15:26:38', 'creation', 'conhost.exe', 12128)
('08/04/2022 15:26:38', 'creation', 'python.exe', 5068)
('08/04/2022 15:26:43', 'creation', 'python.exe', 11916)
('08/04/2022 15:26:43', 'creation', 'conhost.exe', 5636)
('08/04/2022 15:26:38', 'deletion', 'conhost.exe', 12128)
('08/04/2022 15:26:38', 'deletion', 'python.exe', 5068)
('08/04/2022 15:21:26', 'deletion', 'audiodg.exe', 9064)
('08/04/2022 15:27:26', 'creation', 'conhost.exe', 6316)
('08/04/2022 15:26:43', 'deletion', 'python.exe', 11916)
('08/04/2022 15:27:26', 'creation', 'runnerw64.exe', 8400)
('08/04/2022 15:26:43', 'deletion', 'conhost.exe', 5636)
('08/04/2022 15:27:26', 'deletion', 'conhost.exe', 6316)
('08/04/2022 15:27:26', 'deletion', 'runnerw64.exe', 8400)
('08/04/2022 15:28:22', 'creation', 'conhost.exe', 9080)
('08/04/2022 15:28:22', 'creation', 'python.exe', 9500)
('08/04/2022 15:28:22', 'deletion', 'conhost.exe', 9080)
('08/04/2022 15:28:22', 'deletion', 'python.exe', 9500)
('08/04/2022 15:28:34', 'creation', 'conhost.exe', 11436)
('08/04/2022 15:28:34', 'creation', 'python.exe', 7884)
('08/04/2022 15:28:34', 'deletion', 'conhost.exe', 11436)
('08/04/2022 15:28:34', 'deletion', 'python.exe', 7884)
('08/04/2022 15:29:29', 'creation', 'conhost.exe', 6844)
('08/04/2022 15:29:29', 'creation', 'python.exe', 7764)
('08/04/2022 15:29:29', 'deletion', 'conhost.exe', 6844)
('08/04/2022 15:29:29', 'deletion', 'python.exe', 7764)
('08/04/2022 15:29:52', 'creation', 'conhost.exe', 12784)
('08/04/2022 15:29:52', 'creation', 'python.exe', 5904)
('08/04/2022 15:29:52', 'deletion', 'conhost.exe', 12784)
('08/04/2022 15:30:01', 'creation', 'runnerw64.exe', 4588)
('08/04/2022 15:29:52', 'deletion', 'python.exe', 5904)
('08/04/2022 15:30:02', 'creation', 'conhost.exe', 9468)
('08/04/2022 15:30:01', 'deletion', 'runnerw64.exe', 4588)
('08/04/2022 15:30:02', 'deletion', 'conhost.exe', 9468)
('08/04/2022 15:31:01', 'creation', 'conhost.exe', 10872)
('08/04/2022 15:31:01', 'creation', 'python.exe', 7340)
('08/04/2022 15:31:31', 'creation', 'WerFault.exe', 11840)
('08/04/2022 15:31:31', 'creation', 'svchost.exe', 8576)
('08/04/2022 15:31:32', 'creation', 'python.exe', 11212)
('08/04/2022 15:31:31', 'deletion', 'WerFault.exe', 11840)
('08/04/2022 15:31:32', 'creation', 'WerFault.exe', 9604)
('08/04/2022 15:31:01', 'deletion', 'conhost.exe', 10872)
('08/04/2022 15:31:33', 'creation', 'wermgr.exe', 10260)
('08/04/2022 15:31:32', 'deletion', 'python.exe', 11212)
('08/04/2022 15:31:34', 'creation', 'conhost.exe', 12588)
('08/04/2022 15:31:01', 'deletion', 'python.exe', 7340)
('08/04/2022 15:31:34', 'creation', 'runnerw64.exe', 6584)
('08/04/2022 15:31:32', 'deletion', 'WerFault.exe', 9604)
('08/04/2022 15:31:33', 'deletion', 'wermgr.exe', 10260)
('08/04/2022 15:31:34', 'deletion', 'conhost.exe', 12588)
('08/04/2022 15:31:34', 'deletion', 'runnerw64.exe', 6584)
('08/04/2022 15:31:59', 'creation', 'conhost.exe', 2108)
('08/04/2022 15:31:59', 'creation', 'python.exe', 2788)
('08/04/2022 15:31:59', 'deletion', 'conhost.exe', 2108)
('08/04/2022 15:31:59', 'deletion', 'python.exe', 2788)
('08/04/2022 15:32:51', 'creation', 'python.exe', 1204)
('08/04/2022 15:32:51', 'creation', 'conhost.exe', 9004)
('08/04/2022 15:33:02', 'creation', 'FileCoAuth.exe', 6352)
('08/04/2022 15:33:02', 'deletion', 'FileCoAuth.exe', 6352)
('08/04/2022 15:32:51', 'deletion', 'python.exe', 1204)
('08/04/2022 15:32:51', 'deletion', 'conhost.exe', 9004)
('08/04/2022 15:31:31', 'deletion', 'svchost.exe', 8576)
('08/04/2022 15:33:35', 'creation', 'conhost.exe', 13044)
('08/04/2022 15:33:35', 'creation', 'python.exe', 4204)
('08/04/2022 15:33:35', 'deletion', 'conhost.exe', 13044)
('08/04/2022 15:33:35', 'deletion', 'python.exe', 4204)
('08/04/2022 15:34:01', 'creation', 'identity_helper.exe', 8496)
('08/04/2022 15:34:01', 'deletion', 'identity_helper.exe', 8496)
('08/04/2022 15:36:02', 'creation', 'conhost.exe', 12140)
('08/04/2022 15:36:02', 'deletion', 'conhost.exe', 12140)
('08/04/2022 15:36:08', 'creation', 'python.exe', 3576)
('08/04/2022 15:36:09', 'creation', 'conhost.exe', 5896)
('08/04/2022 15:36:08', 'deletion', 'python.exe', 3576)
('08/04/2022 15:36:09', 'deletion', 'conhost.exe', 5896)
('08/04/2022 15:36:11', 'creation', 'python.exe', 13140)
('08/04/2022 15:36:12', 'creation', 'git.exe', 1728)
('08/04/2022 15:36:12', 'creation', 'runnerw64.exe', 4836)
('08/04/2022 15:36:11', 'creation', 'conhost.exe', 528)
('08/04/2022 15:36:12', 'creation', 'git.exe', 5656)
('08/04/2022 15:36:12', 'creation', 'conhost.exe', 7784)
('08/04/2022 15:36:12', 'deletion', 'git.exe', 1728)
('08/04/2022 15:36:12', 'deletion', 'runnerw64.exe', 4836)
('08/04/2022 15:36:12', 'deletion', 'git.exe', 5656)
('08/04/2022 15:36:12', 'deletion', 'conhost.exe', 7784)
('08/04/2022 15:36:11', 'deletion', 'python.exe', 13140)
('08/04/2022 15:36:11', 'deletion', 'conhost.exe', 528)
('08/04/2022 15:36:29', 'creation', 'git.exe', 10864)
('08/04/2022 15:36:29', 'creation', 'git.exe', 5052)
('08/04/2022 15:36:29', 'creation', 'runnerw64.exe', 7860)
('08/04/2022 15:36:29', 'creation', 'conhost.exe', 9072)
('08/04/2022 15:36:29', 'deletion', 'git.exe', 10864)
('08/04/2022 15:36:29', 'deletion', 'git.exe', 5052)
('08/04/2022 15:36:29', 'deletion', 'runnerw64.exe', 7860)
('08/04/2022 15:36:29', 'deletion', 'conhost.exe', 9072)
('08/04/2022 15:36:40', 'creation', 'conhost.exe', 13020)
('08/04/2022 15:36:40', 'creation', 'python.exe', 6816)
('08/04/2022 15:36:40', 'deletion', 'conhost.exe', 13020)
('08/04/2022 15:36:40', 'deletion', 'python.exe', 6816)
('08/04/2022 15:37:11', 'creation', 'python.exe', 13204)
('08/04/2022 15:37:11', 'creation', 'conhost.exe', 2156)
('08/04/2022 15:37:11', 'deletion', 'python.exe', 13204)
('08/04/2022 15:37:11', 'deletion', 'conhost.exe', 2156)
('08/04/2022 15:37:19', 'creation', 'python.exe', 1952)
('08/04/2022 15:37:19', 'creation', 'conhost.exe', 6420)
('08/04/2022 15:37:19', 'deletion', 'python.exe', 1952)
('08/04/2022 15:37:19', 'deletion', 'conhost.exe', 6420)
('08/04/2022 15:37:30', 'creation', 'conhost.exe', 10532)
('08/04/2022 15:37:30', 'creation', 'python.exe', 8200)
('08/04/2022 15:37:30', 'deletion', 'conhost.exe', 10532)
('08/04/2022 15:37:30', 'deletion', 'python.exe', 8200)
('08/04/2022 15:37:40', 'creation', 'conhost.exe', 10792)
('08/04/2022 15:37:40', 'creation', 'python.exe', 3020)
('08/04/2022 15:37:40', 'deletion', 'conhost.exe', 10792)
('08/04/2022 15:37:40', 'deletion', 'python.exe', 3020)
('08/04/2022 15:38:30', 'creation', 'python.exe', 4756)
('08/04/2022 15:38:30', 'creation', 'conhost.exe', 9860)
('08/04/2022 15:38:30', 'deletion', 'python.exe', 4756)
('08/04/2022 15:38:30', 'deletion', 'conhost.exe', 9860)
('08/04/2022 15:38:43', 'creation', 'python.exe', 11316)
('08/04/2022 15:38:43', 'creation', 'conhost.exe', 892)
('08/04/2022 15:38:43', 'deletion', 'python.exe', 11316)
('08/04/2022 15:38:43', 'deletion', 'python.exe', 1324)
('08/04/2022 15:38:43', 'deletion', 'conhost.exe', 6640)
('08/04/2022 15:38:43', 'deletion', 'conhost.exe', 892)
('08/04/2022 15:39:12', 'creation', 'conhost.exe', 1180)
('08/04/2022 15:39:12', 'creation', 'python.exe', 7276)
('08/04/2022 15:39:12', 'deletion', 'conhost.exe', 1180)
('08/04/2022 15:39:12', 'deletion', 'python.exe', 7276)
('08/04/2022 15:41:02', 'creation', 'conhost.exe', 10864)
('08/04/2022 15:41:02', 'creation', 'python.exe', 1248)
('08/04/2022 15:41:02', 'deletion', 'conhost.exe', 10864)
('08/04/2022 15:41:02', 'deletion', 'python.exe', 1248)
('08/04/2022 15:41:29', 'creation', 'conhost.exe', 3960)
('08/04/2022 15:41:29', 'creation', 'python.exe', 7508)
('08/04/2022 15:21:53', 'deletion', 'WUDFHost.exe', 5864)
('08/04/2022 15:42:02', 'creation', 'audiodg.exe', 10380)
('08/04/2022 15:42:03', 'creation', 'LEDKeeper2.exe', 12248)
('08/04/2022 15:42:02', 'creation', 'dllhost.exe', 6332)
('08/04/2022 15:42:07', 'creation', 'svchost.exe', 10456)
('08/04/2022 15:42:07', 'creation', 'WUDFHost.exe', 7300)
('08/04/2022 15:42:02', 'deletion', 'dllhost.exe', 6332)
('08/04/2022 15:42:03', 'deletion', 'LEDKeeper2.exe', 12248)
('08/04/2022 15:41:29', 'deletion', 'conhost.exe', 3960)
('08/04/2022 15:41:29', 'deletion', 'python.exe', 7508)
('08/04/2022 15:43:02', 'creation', 'FileCoAuth.exe', 7412)
('08/04/2022 15:43:02', 'deletion', 'FileCoAuth.exe', 7412)
